Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,629.010010,629.010010,575.729980,576.549988,576.549988,0
2004-01-01,575.780029,581.450012,540.989990,581.450012,581.450012,0
2004-02-01,565.080017,594.710022,555.059998,594.710022,594.710022,0
2004-03-01,572.489990,604.460022,568.049988,601.549988,601.549988,0
2004-04-01,593.299988,626.260010,576.989990,626.260010,626.260010,0
2004-05-01,626.260010,643.109985,604.409973,638.260010,638.260010,0
2004-06-01,622.679993,634.020020,613.820007,618.729980,618.729980,0
2004-07-01,616.690002,635.210022,602.659973,628.210022,628.210022,0
2004-08-01,628.210022,634.260010,607.219971,627.260010,627.260010,0
2004-09-01,609.000000,626.760010,585.469971,587.599976,587.599976,0
2004-10-01,583.960022,617.099976,576.349976,613.250000,613.250000,0
2004-11-01,597.219971,611.260010,569.510010,589.250000,589.250000,0
2004-12-01,568.419983,592.250000,542.260010,542.690002,542.690002,0
2005-01-01,547.679993,588.500000,539.039978,582.000000,582.000000,0
2005-02-01,557.549988,582.299988,542.659973,573.750000,573.750000,0
2005-03-01,555.150024,590.200012,553.710022,586.000000,586.000000,0
2005-04-01,586.000000,589.849976,553.570007,582.250000,582.250000,0
2005-05-01,567.669983,584.500000,551.549988,583.000000,583.000000,0
2005-06-01,583.000000,594.099976,553.169983,577.599976,577.599976,0
2005-07-01,577.599976,587.000000,536.530029,564.609985,564.609985,0
2005-08-01,562.000000,563.000000,511.190002,542.500000,542.500000,0
2005-09-01,542.500000,542.500000,509.640015,529.500000,529.500000,0
2005-10-01,529.500000,547.549988,509.920013,543.200012,543.200012,0
2005-11-01,544.000000,547.200012,498.750000,516.549988,516.549988,0
2005-12-01,516.549988,518.599976,487.899994,514.049988,514.049988,0
2006-01-01,514.049988,537.400024,495.929993,526.250000,526.250000,0
2006-02-01,526.250000,533.099976,494.130005,517.000000,517.000000,0
2006-03-01,517.000000,535.429993,494.329987,524.900024,524.900024,0
2006-04-01,502.700012,521.799988,482.730011,490.839996,490.839996,0
2006-05-01,490.410004,533.250000,483.679993,512.390015,512.390015,0
2006-06-01,509.980011,542.750000,503.589996,519.590027,519.590027,0
2006-07-01,519.590027,538.700012,511.589996,515.020020,515.020020,0
2006-08-01,515.479980,543.400024,507.049988,539.750000,539.750000,0
2006-09-01,516.739990,540.150024,511.690002,512.719971,512.719971,0
2006-10-01,512.719971,532.500000,498.010010,499.179993,499.179993,0
2006-11-01,499.200012,530.750000,498.929993,504.279999,504.279999,0
2006-12-01,503.859985,532.900024,499.709991,508.869995,508.869995,0
2007-01-01,508.869995,544.609985,508.109985,516.869995,516.869995,0
2007-02-01,516.429993,547.750000,509.829987,515.830017,515.830017,0
2007-03-01,515.830017,540.500000,510.640015,514.229980,514.229980,0
2007-04-01,514.099976,539.500000,504.000000,502.809998,502.809998,0
2007-05-01,503.109985,527.299988,495.029999,515.299988,515.299988,0
2007-06-01,515.260010,530.000000,512.690002,516.489990,516.489990,0
2007-07-01,516.489990,527.400024,501.549988,513.669983,513.669983,0
2007-08-01,514.669983,524.299988,505.880005,515.049988,515.049988,0
2007-09-01,515.049988,515.099976,498.779999,498.779999,498.779999,0
2007-10-01,502.040009,506.500000,483.029999,482.309998,482.309998,0
2007-11-01,482.700012,514.900024,482.700012,500.730011,500.730011,0
2007-12-01,498.839996,507.549988,482.890015,492.320007,492.320007,0
2008-01-01,492.269989,497.350006,454.000000,455.809998,455.809998,0
2008-02-01,455.459991,471.179993,445.450012,445.450012,445.450012,0
2008-03-01,444.420013,455.200012,418.709991,433.470001,433.470001,0
2008-04-01,428.779999,459.000000,424.350006,448.570007,448.570007,0
2008-05-01,453.399994,479.700012,452.230011,470.000000,470.000000,0
2008-06-01,469.899994,513.469971,465.190002,524.799988,524.799988,0
2008-07-01,516.549988,516.549988,482.760010,499.790009,499.790009,0
2008-08-01,511.329987,519.299988,507.359985,507.570007,507.570007,0
2008-09-01,504.029999,549.619995,501.320007,557.809998,557.809998,0
2008-10-01,558.119995,670.549988,542.630005,661.000000,661.000000,0
2008-11-01,659.390015,675.109985,624.549988,658.369995,658.369995,0
2008-12-01,658.469971,670.590027,599.020020,629.260010,629.260010,0
2009-01-01,629.260010,649.809998,591.760010,601.599976,601.599976,0
2009-02-01,601.599976,615.950012,570.909973,589.640015,589.640015,0
2009-03-01,589.640015,603.559998,552.010010,575.700012,575.700012,0
2009-04-01,575.750000,593.289978,559.820007,576.309998,576.309998,0
2009-05-01,576.330017,576.330017,537.630005,554.530029,554.530029,0
2009-06-01,554.570007,569.989990,514.250000,523.369995,523.369995,0
2009-07-01,523.330017,541.460022,518.609985,527.280029,527.280029,0
2009-08-01,527.280029,549.080017,525.469971,539.880005,539.880005,0
2009-09-01,546.460022,552.369995,531.280029,539.309998,539.309998,0
2009-10-01,540.390015,547.739990,517.299988,524.900024,524.900024,0
2009-11-01,524.900024,526.510010,475.559998,481.529999,481.529999,0
2009-12-01,481.589996,503.459991,480.149994,500.059998,500.059998,0
2010-01-01,500.059998,524.580017,473.730011,514.869995,514.869995,0
2010-02-01,514.940002,543.380005,512.239990,515.330017,515.330017,0
2010-03-01,515.299988,531.219971,497.019989,513.940002,513.940002,0
2010-04-01,513.859985,521.150024,495.250000,509.459991,509.459991,0
2010-05-01,509.459991,542.640015,506.119995,518.469971,518.469971,0
2010-06-01,518.479980,537.950012,509.929993,536.390015,536.390015,0
2010-07-01,536.349976,537.750000,504.899994,511.350006,511.350006,0
2010-08-01,511.350006,511.350006,487.839996,490.209991,490.209991,0
2010-09-01,490.000000,498.000000,474.950012,485.700012,485.700012,0
2010-10-01,473.170013,490.700012,457.630005,489.200012,489.200012,0
2010-11-01,483.519989,486.649994,467.500000,486.700012,486.700012,0
2010-12-01,475.049988,476.000000,456.690002,467.700012,467.700012,0
2011-01-01,454.609985,498.000000,454.609985,478.369995,478.369995,0
2011-02-01,471.250000,477.899994,457.820007,474.500000,474.500000,0
2011-03-01,465.739990,481.700012,461.970001,481.850006,481.850006,0
2011-04-01,473.279999,475.200012,447.630005,453.109985,453.109985,0
2011-05-01,450.970001,472.500000,450.970001,457.010010,457.010010,0
2011-06-01,455.250000,474.200012,451.859985,469.750000,469.750000,0
2011-07-01,458.420013,466.899994,447.220001,456.000000,456.000000,0
2011-08-01,448.049988,467.299988,443.140015,465.000000,465.000000,0
2011-09-01,451.609985,522.500000,449.600006,512.599976,512.599976,0
2011-10-01,510.540009,531.400024,480.040009,479.820007,479.820007,0
2011-11-01,488.640015,516.289978,480.119995,513.440002,513.440002,0
2011-12-01,508.250000,524.349976,497.850006,519.349976,519.349976,0
2012-01-01,519.299988,520.000000,483.649994,489.950012,489.950012,0
2012-02-01,489.950012,492.200012,473.299988,476.200012,476.200012,0
2012-03-01,480.000000,493.399994,477.049988,488.049988,488.049988,0
2012-04-01,488.049988,495.049500,481.100006,483.799988,483.799988,0
2012-05-01,484.600006,521.000000,479.899994,518.150024,518.150024,0
2012-06-01,517.900024,522.849976,493.899994,500.000000,500.000000,0
2012-07-01,500.000000,500.350006,480.299988,482.500000,482.500000,0
2012-08-01,483.200012,486.250000,473.399994,480.649994,480.649994,0
2012-09-01,480.450012,481.399994,466.799988,474.600006,474.600006,0
2012-10-01,474.600006,483.299988,469.700012,479.500000,479.500000,0
2012-11-01,480.399994,485.600006,475.250000,479.149994,479.149994,0
2012-12-01,480.200012,482.250000,472.500000,479.200012,479.200012,0
2013-01-01,479.200012,479.200012,469.049988,471.299988,471.299988,0
2013-02-01,471.500000,474.049988,470.000000,472.000000,472.000000,0
2013-03-01,472.399994,475.049988,470.350006,471.750000,471.750000,0
2013-04-01,471.750000,478.950012,465.549988,471.450012,471.450012,0
2013-05-01,470.899994,501.149994,468.649994,494.250000,494.250000,0
2013-06-01,500.700012,516.849976,491.049988,506.649994,506.649994,0
2013-07-01,506.649994,517.150024,496.299988,514.400024,514.400024,0
2013-08-01,512.099976,519.150024,505.350006,509.950012,509.950012,0
2013-09-01,509.950012,511.000000,493.799988,503.149994,503.149994,0
2013-10-01,504.299988,508.950012,492.000000,508.299988,508.299988,0
2013-11-01,508.299988,531.750000,508.299988,531.750000,531.750000,0
2013-12-01,531.750000,535.150024,522.150024,525.599976,525.599976,0
2014-01-01,525.599976,557.049988,525.299988,547.900024,547.900024,0
2014-02-01,555.049988,564.450012,545.349976,561.349976,561.349976,0
2014-03-01,558.049988,576.400024,549.450562,549.700012,549.700012,0
2014-04-01,548.299988,565.000000,543.299988,561.599976,561.599976,0
2014-05-01,563.500000,566.080017,546.900024,549.000000,549.000000,0
2014-06-01,548.599976,560.000000,548.599976,550.650024,550.650024,0
2014-07-01,552.099976,574.849976,548.400024,571.650024,571.650024,0
2014-08-01,571.750000,595.799988,570.400024,586.250000,586.250000,0
2014-09-01,586.250000,613.496948,582.250000,601.299988,601.299988,0
2014-10-01,597.750000,600.000000,574.099976,576.400024,576.400024,0
2014-11-01,591.716003,608.599976,576.400024,608.599976,608.599976,0
2014-12-01,608.599976,622.900024,605.000000,605.450012,605.450012,0
2015-01-01,605.450012,634.000000,605.450012,632.911377,632.911377,0
2015-02-01,633.650024,633.650024,614.500000,618.500000,618.500000,0
2015-03-01,617.000000,643.000000,616.000000,626.400024,626.400024,0
2015-04-01,623.799988,623.900024,604.500000,608.599976,608.599976,0
2015-05-01,611.599976,619.299988,592.849976,616.000000,616.000000,0
2015-06-01,617.700012,639.599976,617.700012,634.700012,634.700012,0
2015-07-01,638.299988,673.099976,634.400024,672.000000,672.000000,0
2015-08-01,674.000000,708.549988,672.799988,691.500000,691.500000,0
2015-09-01,692.200012,709.549988,673.400024,703.700012,703.700012,0
2015-10-01,695.599976,697.900024,670.849976,688.400024,688.400024,0
2015-11-01,690.750000,716.750000,687.500000,712.599976,712.599976,0
2015-12-01,710.299988,712.500000,690.000000,708.150024,708.150024,0
2016-01-01,708.150024,732.099976,707.809998,712.950012,712.950012,0
2016-02-01,712.950012,716.599976,684.799988,693.000000,693.000000,0
2016-03-01,696.200012,696.200012,651.849976,667.070007,667.070007,0
2016-04-01,660.679993,684.950012,645.359985,645.359985,645.359985,0
2016-05-01,644.460022,698.000000,644.460022,675.630005,675.630005,0
2016-06-01,677.090027,694.799988,648.760010,651.760010,651.760010,0
2016-07-01,651.440002,665.900024,636.020020,648.719971,648.719971,0
2016-08-01,649.000000,679.400024,629.450012,673.099976,673.099976,0
2016-09-01,660.520020,681.599976,646.090027,646.469971,646.469971,0
2016-10-01,657.000000,671.900024,636.960022,650.799988,650.799988,0
2016-11-01,640.219971,683.700012,633.530029,659.599976,659.599976,0
2016-12-01,675.500000,678.280029,641.320007,668.599976,668.599976,0
2017-01-01,668.599976,674.599976,635.280029,647.700012,647.700012,0
2017-02-01,648.000000,650.599976,622.940002,646.349976,646.349976,0
2017-03-01,649.799988,670.130005,637.919983,662.599976,662.599976,0
2017-04-01,659.400024,667.099976,626.599976,666.599976,666.599976,0
2017-05-01,652.539978,681.200012,651.719971,674.400024,674.400024,0
2017-06-01,660.960022,674.000000,644.409973,664.700012,664.700012,0
2017-07-01,663.400024,667.250000,631.890015,653.200012,653.200012,0
2017-08-01,636.250000,654.799988,616.989990,631.400024,631.400024,0
2017-09-01,618.219971,639.559998,604.039978,635.400024,635.400024,0
2017-10-01,639.599976,641.440002,606.760010,621.020020,621.020020,0
2017-11-01,637.200012,648.630005,613.239990,643.799988,643.799988,0
2017-12-01,628.349976,657.000000,602.330017,613.500000,613.500000,0
2018-01-01,613.500000,615.000000,588.099976,606.400024,606.400024,0
2018-02-01,601.799988,604.599976,580.349976,591.500000,591.500000,0
2018-03-01,594.500000,610.900024,585.299988,603.400024,603.400024,0
2018-04-01,603.400024,613.599976,583.489990,605.700012,605.700012,0
2018-05-01,595.340027,638.799988,595.340027,627.200012,627.200012,0
2018-06-01,614.960022,655.099976,614.960022,649.000000,649.000000,0
2018-07-01,653.400024,664.099976,629.940002,638.099976,638.099976,0
2018-08-01,628.969971,682.500000,625.400024,679.000000,679.000000,0
2018-09-01,657.669983,700.299988,654.169983,657.299988,657.299988,0
2018-10-01,658.599976,700.400024,645.119995,693.000000,693.000000,0
2018-11-01,695.500000,695.559998,657.530029,670.000000,670.000000,0
2018-12-01,670.000000,697.450012,663.299988,693.500000,693.500000,0
2019-01-01,693.500000,699.630005,652.099976,663.400024,663.400024,0
2019-02-01,655.299988,667.099976,638.510010,648.700012,648.700012,0
2019-03-01,655.299988,686.000000,653.599976,680.000000,680.000000,0
2019-04-01,678.299988,680.659973,650.309998,678.140015,678.140015,0
2019-05-01,677.500000,715.260010,676.200012,709.640015,709.640015,0
2019-06-01,709.479980,711.580017,676.000000,677.299988,677.299988,0
2019-07-01,677.780029,701.460022,673.700012,699.000000,699.000000,0
2019-08-01,703.400024,725.950012,690.799988,721.070007,721.070007,0
2019-09-01,721.070007,728.400024,704.400024,725.989990,725.989990,0
2019-10-01,728.580017,748.772827,707.799988,741.767700,741.767700,0
2019-11-01,743.599976,857.684387,732.400024,857.684387,857.684387,0
2019-12-01,857.646423,877.567810,732.200012,732.200012,732.200012,0
2020-01-01,738.900024,801.400024,738.900024,796.799988,796.799988,0
2020-02-01,796.799988,821.799988,773.500000,814.000000,814.000000,0
2020-03-01,814.000000,878.299988,800.299988,859.200012,859.200012,0
2020-04-01,856.299988,867.900024,832.099976,834.099976,834.099976,0
2020-05-01,834.599976,846.400024,798.000000,808.099976,808.099976,0
2020-06-01,798.500000,824.299988,758.299988,821.000000,821.000000,0
2020-07-01,822.299988,822.900024,750.900024,761.000000,761.000000,0
2020-08-01,761.000000,807.299988,754.099976,779.000000,779.000000,0
2020-09-01,775.900024,790.700012,757.599976,784.099976,784.099976,0
2020-10-01,784.599976,803.599976,767.099976,771.500000,771.500000,0
2020-11-01,771.500000,776.000000,747.000000,768.200012,768.200012,0
2020-12-01,761.400024,762.900024,697.799805,711.000000,711.000000,0
2021-01-01,710.000000,744.900024,692.900024,734.299988,734.299988,0
2021-02-01,734.299988,739.400024,697.700012,715.500000,715.500000,0
2021-03-01,723.400024,742.299988,712.200012,728.799988,728.799988,0
2021-04-01,720.000000,722.000000,693.500000,708.900024,708.900024,0
2021-05-01,708.900024,736.900024,690.099976,724.000000,724.000000,0
2021-06-01,722.400024,757.000000,713.200012,727.200012,727.200012,0
2021-07-01,731.799988,772.119995,727.500000,759.780029,759.780029,0
2021-08-01,759.780029,795.340027,752.630005,782.219971,782.219971,0
2021-09-01,775.349976,815.700012,761.869995,809.500000,809.500000,0
2021-10-01,810.330017,832.299988,800.460022,805.390015,805.390015,0
2021-11-01,813.000000,848.750000,788.400024,843.500000,843.500000,0
2021-12-01,826.880005,874.960022,818.250000,851.500000,851.500000,0
2022-01-01,851.500000,856.020020,793.059998,794.688171,794.688171,0
2022-02-01,800.229980,830.349976,783.039978,791.463684,791.463684,0
2022-03-01,798.700012,818.080017,771.400024,788.630005,788.630005,0
2022-04-01,786.280029,859.729980,766.150940,857.510010,857.510010,0
2022-05-01,857.510010,871.099976,818.280029,829.989990,829.989990,0
2022-06-01,823.710022,939.479980,807.549988,926.299988,926.299988,0
2022-07-01,916.250000,1050.260010,896.619385,908.450012,908.450012,0
2022-08-01,900.599976,954.450012,868.384949,889.950012,889.950012,0
2022-09-01,896.500000,993.510010,860.099976,963.250000,963.250000,0
2022-10-01,963.250000,991.030029,920.739990,942.900024,942.900024,0
2022-11-01,943.000000,957.849976,880.400024,900.049988,900.049988,0
2022-12-01,890.000000,896.500000,843.021851,848.000000,848.000000,0
