"año";"mes";"promedio";"desviacion";"n";"muestra"
"2022";"nov";"124,63";" 2,91";16;"Muestra 100"
"2022";"dic";"125,81";" 2,81";27;"Muestra 100"
"2023";"nov";"139,31";"10,84";28;"Muestra 100"
"2023";"dic";"142,59";" 7,60";29;"Muestra 100"
"2022";"nov";"125,40";" 6,47";175;"Muestra 1000"
"2022";"dic";"126,32";" 7,27";273;"Muestra 1000"
"2023";"nov";"136,75";"11,39";256;"Muestra 1000"
"2023";"dic";"144,40";" 7,75";296;"Muestra 1000"
"2022";"nov";"125,08";" 2,83";694;"Muestra 4000"
"2022";"dic";"126,28";" 4,40";1130;"Muestra 4000"
"2023";"nov";"136,37";"10,82";1080;"Muestra 4000"
"2023";"dic";"143,65";" 7,45";1096;"Muestra 4000"
