"";"Edad";"Sucursal";"Ingreso_Anual";"Bienes";"Tarjetas";"Crédito";"Solicitud";"Sexo";"Genero"
"1";48;"C";50576,3;"NO";"NO";"NO";"SI";"1";"Hombre"
"2";40;"B";30085,1;"SI";"SI";"SI";"NO";"0";"Mujer"
"3";51;"C";16575,4;"SI";"SI";"NO";"NO";"1";"Hombre"
"4";23;"B";20375,4;"NO";"SI";"NO";"NO";"1";"Hombre"
"5";57;"A";50576,3;"NO";"NO";"NO";"NO";"1";"Hombre"
"6";57;"B";37869,6;"NO";"SI";"NO";"SI";"1";"Hombre"
"7";22;"A";8877,07;"NO";"SI";"NO";"SI";"0";"Mujer"
"8";58;"B";24946,6;"SI";"SI";"NO";"NO";"0";"Mujer"
"9";54;"B";24212,1;"SI";"SI";"NO";"NO";"0";"Mujer"
"10";66;"B";59803,9;"NO";"SI";"NO";"NO";"1";"Hombre"
"11";52;"C";26658,8;"SI";"SI";"SI";"NO";"1";"Hombre"
"12";44;"B";15735,8;"NO";"SI";"SI";"SI";"1";"Hombre"
"13";66;"B";55204,7;"SI";"SI";"SI";"SI";"1";"Hombre"
"14";36;"A";19474,6;"NO";"SI";"SI";"NO";"0";"Mujer"
"15";38;"C";22342,1;"SI";"SI";"SI";"NO";"1";"Hombre"
"16";37;"B";17729,8;"NO";"NO";"SI";"NO";"1";"Hombre"
"17";46;"D";41016;"NO";"NO";"SI";"NO";"1";"Hombre"
"18";62;"C";26909,2;"NO";"NO";"NO";"SI";"1";"Hombre"
"19";31;"B";22522,8;"SI";"SI";"NO";"NO";"0";"Mujer"
"20";61;"C";57880,7;"NO";"NO";"NO";"SI";"0";"Mujer"
"21";50;"B";16497,3;"NO";"SI";"NO";"NO";"0";"Mujer"
"22";54;"C";38446,6;"NO";"SI";"NO";"NO";"0";"Mujer"
"23";27;"B";15538,8;"SI";"SI";"SI";"NO";"1";"Hombre"
"24";22;"C";12640,3;"SI";"SI";"NO";"NO";"0";"Mujer"
"25";56;"C";41034;"SI";"SI";"SI";"NO";"0";"Mujer"
"26";45;"C";20809,7;"NO";"SI";"SI";"NO";"0";"Mujer"
"27";39;"B";20114;"NO";"SI";"NO";"SI";"1";"Hombre"
"28";39;"C";29359,1;"SI";"SI";"SI";"NO";"1";"Hombre"
"29";61;"A";24270,1;"NO";"SI";"NO";"SI";"0";"Mujer"
"30";61;"A";22942,9;"NO";"SI";"NO";"NO";"1";"Hombre"
